server_hostname,window,stride,ingressBytes_aggregate,inRxmitBytes_aggregate,inCongestionBytes_aggregate,connections_aggregate,ingressBytes_0,ingressBytes_1,ingressBytes_2,ingressBytes_3,ingressBytes_4,ingressBytes_5,ingressBytes_6,ingressBytes_7,ingressBytes_8,ingressBytes_9
150544,10,5,744545,0,0,1024,225087,234134,145338,40436,23587,17750,13173,14716,7904,22420
155508,10,5,49392,0,0,3,0,0,0,300,119,0,487,34723,13763,0
184901,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157824,10,5,45612,0,0,181,3821,2261,6006,7388,5505,4196,3899,3790,4268,4478
101401,10,5,5126442,0,0,119,394791,397061,519255,671858,575614,658773,621715,522373,388025,376977
138706,10,5,734328,0,0,1044,28050,25441,26227,297466,168172,46514,56961,34570,28029,22898
97683,10,5,275988,0,0,537,22065,29349,29603,26410,17662,28343,30780,27951,29704,34121
161988,10,5,216,0,0,0,216,0,0,0,0,0,0,0,0,0
114027,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171025,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58979,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40687,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153063,10,5,3779575,0,0,6,0,0,0,61414,355820,758617,900507,932557,758751,11909
37518,10,5,318221,0,0,1184,17376,20309,18988,37473,42691,23042,43977,32061,48301,34003
87908,10,5,205214,0,0,519,18783,18221,30665,19871,10947,24198,23276,18884,20160,20209
206425,10,5,2129559,0,0,50,199350,139725,201567,265665,235311,198572,177776,199072,248185,264336
158094,10,5,3025520,0,0,28,305,0,0,86787,596535,1043645,848530,251498,21535,176685
5449,10,5,646,0,0,1,0,33,300,0,0,0,0,0,31,282
203629,10,5,84883,0,0,43,140,3438,617,1766,1390,35,8210,67492,1795,0
81142,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110695,10,5,8929670,0,0,170,636824,664658,732058,719890,957921,1038494,1010460,1046126,1030251,1092988
133041,10,5,10918285,0,5060451,1801,1095883,1222702,1032936,1130620,1327168,1140312,928438,932968,1048720,1058538
99803,10,5,0,0,0,132,0,0,0,0,0,0,0,0,0,0
