server_hostname,window,stride,ingressBytes_aggregate,inRxmitBytes_aggregate,inCongestionBytes_aggregate,connections_aggregate,ingressBytes_0,ingressBytes_1,ingressBytes_2,ingressBytes_3,ingressBytes_4,ingressBytes_5,ingressBytes_6,ingressBytes_7,ingressBytes_8,ingressBytes_9
126449,10,5,14719019,0,5028014,73,1406445,1655871,1448063,1450353,1574373,1406185,1379589,1465447,1454880,1477813
53342,10,5,343,0,0,2,0,0,0,0,0,0,55,86,141,61
194787,10,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0
89877,10,5,12487,0,0,11,596,300,1716,2287,755,0,4004,2466,32,331
76342,10,5,428243,0,0,28,30028,2133,2306,3731,4030,93234,287028,898,1913,2942
157751,10,5,3272913,0,0,167,434265,340116,417635,498827,434413,290981,327529,153377,167728,208042
135381,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75300,10,5,8485445,0,646866,22,989212,1215377,1224367,1101029,1112165,894718,468231,534827,548055,397464
161807,10,5,352,0,0,0,0,0,0,0,0,0,278,74,0,0
131459,10,5,232664,0,0,704,6687,12190,9547,22917,34773,50428,46216,28257,8394,13255
187371,10,5,8043,0,0,23,1207,617,2341,2448,696,29,338,178,0,189
84900,10,5,985268,0,0,360,0,273,152,0,0,185909,253782,84205,97549,363398
48453,10,5,2051593,0,0,86,167048,259172,172569,156286,583521,279116,279053,123965,6188,24675
151723,10,5,1938040,0,0,11,2260,76700,367558,511649,91271,198542,534121,670,337,154932
164942,10,5,910299,0,0,264,71126,73562,155501,50274,110434,76255,197220,107720,15312,52895
171529,10,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0
70103,10,5,927,0,0,7,25,141,124,120,21,128,165,133,70,0
168354,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14683,10,5,575794,597,0,727,100900,100030,90226,63124,36188,68612,31903,22328,29503,32980
185297,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154134,10,5,141543,0,0,21,62517,51461,721,121,99,0,3361,11687,9667,1909
90368,10,5,676920,0,0,585,98936,70471,66911,83417,56122,52307,91066,68759,44251,44680
160337,10,5,382562,0,0,0,0,0,0,0,0,114,337,0,97056,285055
121043,10,5,2194903,0,0,35,23317,3495,77794,3409,78380,66970,263088,175478,901213,601759
64054,10,5,438611,0,0,953,22943,31731,29040,17202,40737,80247,121550,50399,24688,20074
191119,10,5,397504,0,0,27,87,42413,147375,116654,1353,950,1296,179,609,86588
85368,10,5,1841057,0,0,70,152154,462856,237329,693273,79501,65450,64573,8002,40932,36987
61214,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
